Names,Dates,Locations,Tweets,Polarity,Sentiment
beggiejoe,2020-12-21 19:17:02,around the world in 80 days,"['rt', 'newsonnbc', 'shoprite', 'checkers', 'and', 'u', 'save', 'workers', 'to', 'strike', 'on', 'monday', 'over', 'poor', 'salaries']",0.0,neutral
papizwane,2020-12-21 19:16:45,,"['rt', 'thabskotsi', 'papizwane', 'i', 'got', 'it', 'at', 'shoprite', 'for', 'r85']",0.0,neutral
jimmyericlevi,2020-12-21 19:11:54,turn on my notification .🙏,"['rt', 'realdjlennon', 'rumor', 'has', 'it', 'that', 'im', 'kinda', 'famous', 'on', 'this', 'appi', 'went', 'to', 'town', 'and', 'walked', 'from', 'shoprite', 'to', 'magestic', 'plaza', 'expecting', 'some']",0.0,neutral
joanmawejje1,2020-12-21 19:09:11,somewea on this planet,"['rt', 'realdjlennon', 'rumor', 'has', 'it', 'that', 'im', 'kinda', 'famous', 'on', 'this', 'appi', 'went', 'to', 'town', 'and', 'walked', 'from', 'shoprite', 'to', 'magestic', 'plaza', 'expecting', 'some']",0.0,neutral
256routes,2020-12-21 19:09:02,"kampala, uganda","['rt', 'guinnessuganda', 'get', 'in', 'the', 'festive', 'mood', 'with', 'the', 'new', 'and', 'exciting', 'guinness', 'cansavailable', 'on', 'jumiaug', 'via', 'a']",0.0,neutral
_olufisayo,2020-12-21 18:53:55,"lagos, nigeria","['one', 'guy', 'walked', 'into', 'shoprite', 'today', 'with', 'his', 'white', 'sugar', 'mummymehn', 'first', 'time', 'im', 'actually', 'seeing', 'a', 'hot', 'older', 'w']",0.0,neutral
biba_bitch,2020-12-21 18:51:57,𝙸𝚗𝚗𝚎𝚛 𝚌𝚑𝚒𝚕𝚍,"['rt', 'btsvnigeria', 'vday', 'in', 'nigeria', 'a', 'billboard', 'ad', 'will', 'be', 'displayed', 'and', 'it', 'will', 'run', 'for', '2', 'days', 'from', '30th', 'to', '31st', 'of', 'dec', 'location', 'insi']",0.0,neutral
dianahtara,2020-12-21 18:46:02,"mbarara, uganda","['rt', 'realdjlennon', 'rumor', 'has', 'it', 'that', 'im', 'kinda', 'famous', 'on', 'this', 'appi', 'went', 'to', 'town', 'and', 'walked', 'from', 'shoprite', 'to', 'magestic', 'plaza', 'expecting', 'some']",0.0,neutral
frankcorsojr,2020-12-21 18:44:27,new york,"['moosic', 'location', 'of', 'shoprite', 'opens', 'its', 'doors', 'in', 'former', 'kmart', 'via', 'the', 'sunday', 'dispatch']",0.0,neutral
serenitygloria_,2020-12-21 18:42:58,"uganda,kampala ","['rt', 'realdjlennon', 'rumor', 'has', 'it', 'that', 'im', 'kinda', 'famous', 'on', 'this', 'appi', 'went', 'to', 'town', 'and', 'walked', 'from', 'shoprite', 'to', 'magestic', 'plaza', 'expecting', 'some']",0.5,very_positive
maclord_xavier,2020-12-21 18:40:25,,"['rt', 'steeze1', 'me', 'and', 'boys', 'go', 'enter', 'shoprite', 'den', 'shop', 'condoms', 'for', '60', 'seconds', 'sctrolleydash']",-0.06,negative
iam_shafiq_01,2020-12-21 18:39:44,uganda 🇺🇬,"['rt', 'realdjlennon', 'rumor', 'has', 'it', 'that', 'im', 'kinda', 'famous', 'on', 'this', 'appi', 'went', 'to', 'town', 'and', 'walked', 'from', 'shoprite', 'to', 'magestic', 'plaza', 'expecting', 'some']",-0.31,negative
majidbally,2020-12-21 18:33:45,"lira, uganda","['rt', 'realdjlennon', 'rumor', 'has', 'it', 'that', 'im', 'kinda', 'famous', 'on', 'this', 'appi', 'went', 'to', 'town', 'and', 'walked', 'from', 'shoprite', 'to', 'magestic', 'plaza', 'expecting', 'some']",0.0,neutral
cescavaleriax3,2020-12-21 18:33:32,south philly,"['the', '3rd', 'and', 'oregon', 'shoprite', 'is', 'what', 'nightmares', 'are', 'made', 'of']",0.0,neutral
austeiin,2020-12-21 18:32:19,lagos,"['that', 'they', 'are', 'fvcking', 'gorgeous', 'amaka', 'bake', 'usbaby', 'geh', 'bake', 'uswe', 'are', 'your', 'shoprite', 'bread']",-0.25,negative
austeiin,2020-12-21 18:32:08,lagos,"['amakamzy', 'that', 'they', 'are', 'fvcking', 'gorgeous', 'amaka', 'bake', 'usbaby', 'geh', 'bake', 'uswe', 'are', 'your', 'shoprite', 'bread']",0.4,positive
ilatif_,2020-12-21 18:31:52,everywhere,"['rt', 'steeze1', 'me', 'and', 'boys', 'go', 'enter', 'shoprite', 'den', 'shop', 'condoms', 'for', '60', 'seconds', 'sctrolleydash']",0.0,neutral
blfdpublicsafe,2020-12-21 18:29:33,bloomfield nj,"['thank', 'you', 'to', 'the', 'entire', 'crew', 'at', 'brookdale', 'shoprite', 'for', 'delivering', 'a', 'delicious', 'lunch', 'to', 'all', 'of', 'the', 'guys', 'and', 'girls', 'wo']",-0.6,very_negative
getwiggywitit99,2020-12-21 18:26:19,,"['some', 'old', 'bastard', 'in', 'the', 'shoprite', 'just', 'gave', 'me', 'shit', 'for', 'going', 'the', 'wrong', 'way', 'down', 'the', 'covid', 'rules', 'aisles', 'told', 'him']",-0.6,very_negative
clintsayebare,2020-12-21 18:25:46,"kampala, uganda","['rt', 'realdjlennon', 'rumor', 'has', 'it', 'that', 'im', 'kinda', 'famous', 'on', 'this', 'appi', 'went', 'to', 'town', 'and', 'walked', 'from', 'shoprite', 'to', 'magestic', 'plaza', 'expecting', 'some']",0.0,neutral
itsmj_arthur,2020-12-21 18:23:13,nairobi,"['derrickdose', 'mrrightke', 'safaricomplc', 'shoprite', 'has', 'left', 'the', 'kenyan', 'market']",0.0,neutral
lavitosoul,2020-12-21 18:21:47,"bedfordview,south africa iphon","['rt', 'papakhegu', 'ths', 'is', 'khethile', 'mokhet', 'working', 'shopritesa', 'in', 'ficksburg', 'he', 'got', 'balls', 'to', 'moer', 'ladies', 'if', 'you', 'see', 'him', 'call', 'sapoliceservice']",0.0,neutral
1realformula,2020-12-21 18:21:25,"accra, ghana","['rt', 'steeze1', 'me', 'and', 'boys', 'go', 'enter', 'shoprite', 'den', 'shop', 'condoms', 'for', '60', 'seconds', 'sctrolleydash']",0.0,neutral
switflav,2020-12-21 18:20:40,kampala uganda     256🇺🇬🇺🇬,"['rt', 'realdjlennon', 'rumor', 'has', 'it', 'that', 'im', 'kinda', 'famous', 'on', 'this', 'appi', 'went', 'to', 'town', 'and', 'walked', 'from', 'shoprite', 'to', 'magestic', 'plaza', 'expecting', 'some']",0.0,neutral
derrick_dose,2020-12-21 18:20:19,"nairobi, kenya","['itsmjarthur', 'mrrightke', 'safaricomplc', 'guess', 'thats', 'why', 'shoprite', 'aint', 'that', 'mode', 'of', 'payment', 'anymore', 'ama', 'they', 'dying', 'like', 'tuskys']",0.35,positive
realdjlennon,2020-12-21 18:18:58,kampala uganda,"['rumor', 'has', 'it', 'that', 'im', 'kinda', 'famous', 'on', 'this', 'appi', 'went', 'to', 'town', 'and', 'walked', 'from', 'shoprite', 'to', 'magestic', 'plaza', 'expectin']",0.0,neutral
nameizmarcus,2020-12-21 18:17:57,malawi,"['rt', 'qwazylindie', 'hey', 'blantyre', 'people', 'i', 'have', 'very', 'nice', 'and', 'tasty', 'appetizing', 'aroma', 'achale', 'made', 'by', 'me', 'for', 'sell', 'at', 'k2000', 'a', 'bottle', 'only', 'deli']",-0.36,negative
majapalesa,2020-12-21 18:17:08,"nelspruit, south africa","['shopritesa', 'the', 'price', 'of', 'these', 'regal', 'chocolates', 'doesnt', 'make', 'sense']",0.65,very_positive
eiiscanty,2020-12-21 18:16:30," 05°42'42""n, 00°-10'-10""w","['rt', 'steeze1', 'me', 'and', 'boys', 'go', 'enter', 'shoprite', 'den', 'shop', 'condoms', 'for', '60', 'seconds', 'sctrolleydash']",-0.36,negative
ron_kandulu,2020-12-21 18:15:45,malawi,"['rt', 'qwazylindie', 'hey', 'blantyre', 'people', 'i', 'have', 'very', 'nice', 'and', 'tasty', 'appetizing', 'aroma', 'achale', 'made', 'by', 'me', 'for', 'sell', 'at', 'k2000', 'a', 'bottle', 'only', 'deli']",-0.36,negative
papakhegu,2020-12-21 18:13:12,south africa,"['ths', 'is', 'khethile', 'mokhet', 'working', 'shopritesa', 'in', 'ficksburg', 'he', 'got', 'balls', 'to', 'moer', 'ladies', 'if', 'you', 'see', 'him', 'call']",0.0,neutral
mammivie,2020-12-21 18:12:20,abuja-nigeria,"['you', 'want', 'to', 'come', 'and', 'add', 'to', 'the', 'number', 'alausa', 'opposite', 'shoprite', 'on', 'awolowo', 'way']",1.0,very_positive
6tus_bmt,2020-12-21 18:09:26,"üt: 6.604898,3.492351","['rt', 'shewhois', 'please', 'can', 'i', 'get', 'this', 'in', 'shoprite', 'or', 'who', 'sells']",0.0,neutral
theohmsguy,2020-12-21 18:09:08,"kumasi, ghana, atonsu🚶","['rt', 'steeze1', 'me', 'and', 'boys', 'go', 'enter', 'shoprite', 'den', 'shop', 'condoms', 'for', '60', 'seconds', 'sctrolleydash']",0.28,positive
